time_us,x,y,z,qw,qx,qy,qz
4863697,-1.3911,0.542127,-0.0764932,-0.0359158,0.00745546,0.00321061,0.999322
4896862,-1.39112,0.542146,-0.0763872,-0.0355665,0.00637421,0.00439788,0.9993371
4930934,-1.39114,0.542139,-0.0763071,-0.0357289,0.00633669,0.00349084,0.999335
4963654,-1.39109,0.542103,-0.0765339,-0.0359923,0.00753234,0.00282228,0.99932
4996532,-1.39113,0.542091,-0.0763945,-0.0361304,0.00708531,0.00367955,0.999315
5030623,-1.39109,0.542097,-0.0764109,-0.0359206,0.00716739,0.00454272,0.9993191
5064238,-1.39115,0.542036,-0.076165,-0.0360207,0.00577922,0.0046889,0.999323
5096521,-1.39116,0.542119,-0.0762539,-0.0355866,0.00622929,0.00415797,0.999339
5130392,-1.39114,0.542138,-0.076418,-0.0361196,0.00744934,0.00310695,0.999315
5163619,-1.39109,0.542161,-0.0764048,-0.0357179,0.00745754,0.00458993,0.9993241
5197931,-1.3911,0.542008,-0.0762163,-0.0360508,0.00595878,0.00429503,0.999323
5229962,-1.39115,0.542106,-0.0763069,-0.0356093,0.00694885,0.00404666,0.999333
5262949,-1.39112,0.542104,-0.0765122,-0.0360594,0.00769611,0.00289199,0.999316
5296425,-1.39108,0.542189,-0.0762671,-0.0353873,0.00629825,0.00448345,0.9993441
5330710,-1.39106,0.542226,-0.0762959,-0.0354898,0.00614236,0.00455208,0.999341
5363924,-1.39107,0.542215,-0.076353,-0.0349799,0.00677832,0.00521102,0.999351
5396766,-1.39108,0.542242,-0.076343,-0.0351258,0.0065468,0.00362546,0.9993551
5431181,-1.39114,0.542138,-0.0763611,-0.0350093,0.00713298,0.00439085,0.999352
5463891,-1.39114,0.542136,-0.0762881,-0.0353716,0.00629098,0.00494935,0.999342
5497343,-1.39115,0.542144,-0.0762754,-0.0351274,0.0063955,0.00384942,0.9993551
5530437,-1.39121,0.542151,-0.0764238,-0.034954,0.00802291,0.00231814,0.999354
5563370,-1.39118,0.542166,-0.0763774,-0.0352869,0.00727179,0.00365931,0.999344
5597452,-1.39117,0.54214,-0.0763384,-0.035297,0.00723321,0.00422968,0.9993421
5630897,-1.3912,0.542056,-0.0761687,-0.0356049,0.0059523,0.00459723,0.999338
5663664,-1.39122,0.542196,-0.0762732,-0.0347306,0.00673987,0.00347338,0.999368
5697346,-1.39126,0.542192,-0.0763535,-0.0350344,0.00787786,0.00265655,0.999352
5730561,-1.39112,0.542237,-0.0763406,-0.034993,0.00727641,0.00425644,0.9993521
5763631,-1.39116,0.542111,-0.0761919,-0.0355237,0.00609014,0.00422234,0.999341
5797001,-1.39114,0.542246,-0.0762515,-0.0349775,0.00629914,0.0039996,0.99936
5830217,-1.3911,0.542125,-0.076394,-0.0357192,0.00703855,0.00249722,0.999334
5863372,-1.39102,0.542187,-0.0761125,-0.0353941,0.00499803,0.00453721,0.9993511
5896151,-1.39105,0.542208,-0.0761724,-0.035457,0.00570802,0.00430347,0.999346
5929926,-1.3911,0.542065,-0.0761997,-0.0360144,0.00587937,0.00527765,0.99932
5963485,-1.39107,0.542226,-0.0762827,-0.0355141,0.00595093,0.00375468,0.9993441
5996643,-1.39121,0.542141,-0.0763003,-0.035295,0.00730997,0.00467308,0.999339
6030792,-1.39116,0.542109,-0.0762949,-0.0356885,0.00686806,0.00506266,0.999327
6064269,-1.39115,0.542092,-0.0762993,-0.0360912,0.0066206,0.00455321,0.9993161
6096975,-1.39117,0.542116,-0.0764524,-0.0359172,0.00782109,0.00327176,0.999319
6130660,-1.39118,0.542178,-0.0763589,-0.0354786,0.00728368,0.00396822,0.999336
6163706,-1.39117,0.542199,-0.0763193,-0.0353796,0.00688622,0.00532391,0.999336
6197351,-1.39116,0.542098,-0.0761748,-0.035606,0.00564393,0.00576111,0.9993331
6230354,-1.39116,0.542185,-0.0762603,-0.0352985,0.00593959,0.00552406,0.999344
6263993,-1.39117,0.542168,-0.0763918,-0.0355153,0.00736095,0.00405313,0.999334
6297160,-1.39112,0.542245,-0.0763872,-0.0352885,0.00742686,0.00535797,0.999335
6331279,-1.39119,0.542127,-0.0761719,-0.0351214,0.00629184,0.00455497,0.9993531
6363491,-1.39118,0.542223,-0.0762769,-0.0347404,0.00673303,0.00501032,0.999361
6397073,-1.39117,0.542141,-0.0764673,-0.0352939,0.00782195,0.00318861,0.999341
6430491,-1.3911,0.542109,-0.0762041,-0.0355948,0.00623766,0.00523897,0.999333
6463993,-1.39113,0.542227,-0.076231,-0.0352308,0.00637493,0.00516491,0.9993461
6496829,-1.39113,0.542125,-0.0763586,-0.0355167,0.00750047,0.00483327,0.999329
6530667,-1.39114,0.54222,-0.0762554,-0.035224,0.00645518,0.00382695,0.999351
6564230,-1.39122,0.542162,-0.0763228,-0.0352143,0.00742688,0.00477763,0.9993411
6596598,-1.39118,0.542112,-0.0763355,-0.0357015,0.00719131,0.00469004,0.999326
6629686,-1.39115,0.542131,-0.076282,-0.0359254,0.00637641,0.00428097,0.999325
6663706,-1.39117,0.542109,-0.0763999,-0.0358069,0.00755101,0.00287738,0.999326
6696406,-1.39121,0.542094,-0.0763543,-0.036102,0.0075442,0.00375137,0.9993131
6730151,-1.39121,0.542104,-0.076332,-0.0362026,0.00746173,0.00454964,0.999306
6763735,-1.39119,0.542034,-0.0761702,-0.0363201,0.00571716,0.0053054,0.99931
6796825,-1.39118,0.542056,-0.0763174,-0.036093,0.00653226,0.00420309,0.9993181
6830634,-1.3912,0.542166,-0.0763276,-0.0360806,0.00711912,0.00304264,0.999319
6863862,-1.39109,0.542221,-0.0763418,-0.0358479,0.00650945,0.00438355,0.999326
6897150,-1.39119,0.542032,-0.0762354,-0.0362602,0.00603433,0.00444065,0.9993141
6931323,-1.3912,0.542142,-0.0763296,-0.0361473,0.00667465,0.00412489,0.999316
6964689,-1.39119,0.54211,-0.0764924,-0.0361892,0.00771318,0.00315437,0.99931
6996725,-1.39114,0.542188,-0.0762598,-0.0356908,0.00609278,0.0045443,0.999334
7030122,-1.39111,0.542214,-0.0763064,-0.03585,0.00615814,0.00458668,0.9993281
7064662,-1.39113,0.542219,-0.0763687,-0.03535,0.00672313,0.004757,0.999341
7097128,-1.39111,0.542165,-0.0763579,-0.0361419,0.00649823,0.00346011,0.99932
7130314,-1.39118,0.542122,-0.0764009,-0.0357118,0.00731414,0.00442271,0.9993261
7164281,-1.39116,0.542111,-0.076311,-0.0359186,0.00642847,0.00522213,0.99932
7198215,-1.39115,0.54212,-0.0763086,-0.0361652,0.00614364,0.00441567,0.999317
7230428,-1.39119,0.542133,-0.0765059,-0.0360666,0.00783592,0.00310263,0.9993141
7263754,-1.3912,0.542144,-0.0763794,-0.0357736,0.00725475,0.00396664,0.999326
7297199,-1.39119,0.542124,-0.0763308,-0.0360538,0.00693718,0.00503441,0.999313
7331071,-1.39119,0.542063,-0.076148,-0.0361663,0.0050096,0.00579664,0.9993161
7363930,-1.39118,0.54213,-0.0763525,-0.0358613,0.00653328,0.0049416,0.999323
7397188,-1.3912,0.542144,-0.076439,-0.0358635,0.00760569,0.00384966,0.99932
7430307,-1.39113,0.542165,-0.0763213,-0.0358968,0.00683533,0.00585419,0.999315
7462867,-1.39117,0.542036,-0.0761802,-0.0362309,0.00564353,0.00551253,0.9993121
7498230,-1.39114,0.542147,-0.0762974,-0.0357945,0.00671493,0.00491239,0.999325
7531123,-1.39112,0.542126,-0.076449,-0.0359645,0.00713341,0.00331685,0.999322
7563395,-1.39112,0.542145,-0.0762524,-0.0356407,0.00617729,0.00535764,0.9993311
7596379,-1.39112,0.542192,-0.0762549,-0.0356781,0.00624284,0.0053257,0.99933
7630965,-1.39112,0.542177,-0.0763994,-0.0350766,0.00744925,0.005136,0.999344
7664288,-1.39109,0.542231,-0.0762861,-0.0351465,0.00604352,0.00447912,0.9993541
7697663,-1.39114,0.542126,-0.0763174,-0.0355292,0.00714181,0.00458275,0.999333
7730879,-1.39107,0.542138,-0.0762283,-0.0354721,0.00546573,0.00535407,0.999341
